No.;Nama Pemilik;Nama Usaha;NIK;Tgl. Lahir;Jalan;Desa;Sektor;NIB/SKU;Jml. Tenaga Kerja;Kapasitas Produksi/Thn; Omset/Thn ; Aset ;Sosmed;Marketplace;Kepemilikan Lahan
20;Owner-0020;MSME-0011;NIK-0020;BirthDate-0020;Street-0001;Village-0001;Jasa;Ada;4;5000; Rp105.750.000 ; Rp34.250.000 ;Facebook;Tidak ada;Sendiri
21;Owner-0021;MSME-0012;NIK-0021;BirthDate-0021;Street-0004;Village-0001;Makanan dan Minuman;Ada;4;750; Rp87.500.000 ; Rp97.750.000 ;Instagram, TikTok;Shopee;Sendiri
22;Owner-0022;MSME-0001;NIK-0022;BirthDate-0022;Street-0004;Village-0001;Makanan dan Minuman;Ada;5;260; Rp1.005.750.000 ; Rp930.500.000 ;TikTok;Shopee;Sendiri
23;Owner-0023;MSME-0013;NIK-0023;BirthDate-0023;Street-0004;Village-0001;Perdagangan;Ada;5;90; Rp156.500.000 ; Rp171.250.000 ;Instagram, Facebook, TikTok;Lazada;Sendiri
24;Owner-0024;MSME-0004;NIK-0024;BirthDate-0024;Street-0001;Village-0001;Perdagangan;Ada;2;2500; Rp1.066.000.000 ; Rp1.080.250.000 ;TikTok;Tokopedia;Sendiri
25;Owner-0025;MSME-0014;NIK-0025;BirthDate-0025;Street-0004;Village-0001;Jasa;Ada;3;140; Rp30.000.000 ; Rp5.750.000 ;Facebook;Tidak ada;Sendiri
26;Owner-0026;MSME-0004;NIK-0026;BirthDate-0026;Street-0006;Village-0003;Perdagangan;Ada;2;4500; Rp197.000.000 ; Rp200.000.000 ;Facebook;Lazada;Sendiri
27;Owner-0027;MSME-0015;NIK-0027;BirthDate-0027;Street-0001;Village-0001;Makanan dan Minuman;Ada;5;1100; Rp414.250.000 ; Rp994.750.000 ;Facebook;Tokopedia;Sendiri
28;Owner-0028;MSME-0005;NIK-0028;BirthDate-0028;Street-0004;Village-0001;Makanan dan Minuman;Ada;3;15000; Rp16.000.000 ; Rp19.500.000 ;Facebook, TikTok;Shopee;Sendiri
29;Owner-0029;MSME-0016;NIK-0029;BirthDate-0029;Street-0004;Village-0001;Jasa;Ada;5;480; Rp88.000.000 ; Rp154.000.000 ;Facebook;Tidak ada;Sendiri
30;Owner-0030;MSME-0004;NIK-0030;BirthDate-0030;Street-0001;Village-0001;Perdagangan;Ada;3;500; Rp665.500.000 ; Rp520.500.000 ;Facebook;Shopee;Sendiri
31;Owner-0031;MSME-0001;NIK-0031;BirthDate-0031;Street-0004;Village-0001;Makanan dan Minuman;Ada;5;470; Rp6.500.000 ; Rp29.250.000 ;Instagram, Facebook, TikTok;Shopee;Sendiri
32;Owner-0032;MSME-0005;NIK-0032;BirthDate-0032;Street-0004;Village-0001;Makanan dan Minuman;Ada;6;500; Rp114.250.000 ; Rp64.000.000 ;Facebook, TikTok;Shopee;Sewa
33;Owner-0033;MSME-0017;NIK-0033;BirthDate-0033;Street-0004;Village-0001;Makanan dan Minuman;Ada;3;210; Rp959.250.000 ; Rp737.250.000 ;Instagram;Shopee;Sewa
34;Owner-0034;MSME-0014;NIK-0034;BirthDate-0034;Street-0007;Village-0001;Jasa;Ada;1;2000; Rp30.500.000 ; Rp29.500.000 ;Facebook;Tidak ada;Sendiri
35;Owner-0035;MSME-0001;NIK-0035;BirthDate-0035;Street-0001;Village-0001;Makanan dan Minuman;Ada;5;1500; Rp129.500.000 ; Rp135.750.000 ;TikTok, Instagram;Tidak ada;Sendiri
36;Owner-0036;MSME-0018;NIK-0036;BirthDate-0036;Street-0001;Village-0001;Jasa;Ada;1;7000; Rp754.750.000 ; Rp929.000.000 ;Facebook, TikTok;Tokopedia;Sewa
37;Owner-0037;MSME-0019;NIK-0037;BirthDate-0037;Street-0001;Village-0001;Makanan dan Minuman;Ada;2;800; Rp5.500.000 ; Rp27.250.000 ;Instagram, Facebook, TikTok;Shopee;Sendiri
38;Owner-0038;MSME-0020;NIK-0038;BirthDate-0038;Street-0008;Village-0004;Perdagangan;Ada;4;85; Rp121.500.000 ; Rp174.000.000 ;Facebook;Tokopedia;Sewa
39;Owner-0039;MSME-0006;NIK-0039;BirthDate-0039;Street-0001;Village-0001;Jasa;Ada;8;2150; Rp1.059.000.000 ; Rp626.250.000 ;WhatsApp Business, Facebook;Shopee;Sendiri
40;Owner-0040;MSME-0021;NIK-0040;BirthDate-0040;Street-0001;Village-0001;Jasa;Ada;2;800; Rp12.500.000 ; Rp22.750.000 ;WhatsApp Business;Tidak ada;Sendiri
41;Owner-0041;MSME-0022;NIK-0041;BirthDate-0041;Street-0003;Village-0002;Jasa;Ada;2;7000; Rp100.500.000 ; Rp179.250.000 ;Facebook;Lazada;Sendiri
42;Owner-0042;MSME-0006;NIK-0042;BirthDate-0042;Street-0001;Village-0001;Jasa;Ada;5;1000; Rp306.500.000 ; Rp506.000.000 ;Facebook;Tidak ada;Sendiri
43;Owner-0043;MSME-0001;NIK-0043;BirthDate-0043;Street-0004;Village-0001;Makanan dan Minuman;Ada;5;415; Rp6.250.000 ; Rp17.000.000 ;Instagram;Shopee;Sendiri
44;Owner-0044;MSME-0023;NIK-0044;BirthDate-0044;Street-0004;Village-0001;Jasa;Ada;1;145; Rp139.750.000 ; Rp121.000.000 ;Instagram;Tidak ada;Sendiri
45;Owner-0045;MSME-0002;NIK-0045;BirthDate-0045;Street-0001;Village-0001;Makanan dan Minuman;Ada;2;310; Rp13.250.000 ; Rp9.750.000 ;Facebook;Shopee;Sendiri
46;Owner-0046;MSME-0024;NIK-0046;BirthDate-0046;Street-0009;Village-0005;Jasa;Ada;2;4000; Rp10.500.000 ; Rp10.500.000 ;Instagram;Shopee;Sendiri
47;Owner-0047;MSME-0025;NIK-0047;BirthDate-0047;Street-0001;Village-0001;Jasa;Ada;5;5000; Rp597.000.000 ; Rp1.065.750.000 ;Facebook;Tidak ada;Sendiri
48;Owner-0048;MSME-0026;NIK-0048;BirthDate-0048;Street-0001;Village-0001;Makanan dan Minuman;Ada;2;2000; Rp27.000.000 ; Rp5.750.000 ;TikTok;Shopee;Sewa
49;Owner-0049;MSME-0027;NIK-0049;BirthDate-0049;Street-0010;Village-0005;Perdagangan;Ada;2;470; Rp22.750.000 ; Rp25.500.000 ;Facebook;Shopee;Sendiri
50;Owner-0050;MSME-0028;NIK-0050;BirthDate-0050;Street-0001;Village-0001;Makanan dan Minuman;Ada;3;1400; Rp54.250.000 ; Rp82.750.000 ;Instagram, TikTok;Shopee;Sendiri
51;Owner-0051;MSME-0029;NIK-0051;BirthDate-0051;Street-0001;Village-0001;Makanan dan Minuman;Ada;2;5000; Rp24.750.000 ; Rp8.500.000 ;Facebook;Tidak ada;Sendiri
52;Owner-0019;MSME-0012;NIK-0052;BirthDate-0019;Street-0001;Village-0001;Makanan dan Minuman;Ada;3;380; Rp7.250.000 ; Rp15.500.000 ;Facebook;Shopee;Sendiri
53;Owner-0052;MSME-0030;NIK-0053;BirthDate-0052;Street-0001;Village-0001;Jasa;Ada;2;100; Rp61.500.000 ; Rp136.000.000 ;WhatsApp Business, Instagram, TikTok;Tidak ada;Sendiri
54;Owner-0053;MSME-0031;NIK-0054;BirthDate-0053;Street-0001;Village-0001;Pertambangan;Ada;8;2000; Rp338.000.000 ; Rp702.250.000 ;WhatsApp Business;Tokopedia;Sendiri
55;Owner-0054;MSME-0004;NIK-0055;BirthDate-0054;Street-0001;Village-0001;Perdagangan;Ada;2;15000; Rp26.250.000 ; Rp7.500.000 ;Facebook;Tokopedia;Sendiri
56;Owner-0055;MSME-0004;NIK-0056;BirthDate-0055;Street-0011;Village-0005;Perdagangan;Ada;2;150; Rp132.500.000 ; Rp198.000.000 ;Instagram, TikTok;Shopee;Sendiri
57;Owner-0056;MSME-0004;NIK-0057;BirthDate-0056;Street-0012;Village-0005;Perdagangan;Ada;6;15000; Rp664.250.000 ; Rp811.000.000 ;Facebook;Shopee;Sendiri
58;Owner-0057;MSME-0032;NIK-0058;BirthDate-0057;Street-0013;Village-0005;Makanan dan Minuman;Ada;6;2500; Rp25.000.000 ; Rp24.000.000 ;Instagram, TikTok;Shopee;Sendiri
59;Owner-0058;MSME-0017;NIK-0059;BirthDate-0058;Street-0014;Village-0005;Makanan dan Minuman;Ada;4;4000; Rp90.250.000 ; Rp155.000.000 ;TikTok;Shopee;Sewa
60;Owner-0059;MSME-0004;NIK-0060;BirthDate-0059;Street-0015;Village-0005;Perdagangan;Ada;3;1500; Rp454.750.000 ; Rp649.750.000 ;Instagram;Shopee;Sendiri
61;Owner-0060;MSME-0004;NIK-0061;BirthDate-0060;Street-0010;Village-0005;Perdagangan;Ada;5;4000; Rp29.750.000 ; Rp23.250.000 ;WhatsApp Business;Shopee;Sendiri
62;Owner-0061;MSME-0024;NIK-0062;BirthDate-0061;Street-0009;Village-0005;Jasa;Ada;1;1500; Rp101.750.000 ; Rp90.000.000 ;Instagram, Facebook;Shopee;Sendiri
63;Owner-0062;MSME-0004;NIK-0063;BirthDate-0062;Street-0010;Village-0005;Perdagangan;Ada;2;5000; Rp1.024.000.000 ; Rp432.000.000 ;Facebook;Tokopedia;Sendiri
64;Owner-0063;MSME-0033;NIK-0064;BirthDate-0063;Street-0011;Village-0003;Perdagangan;Ada;4;7500; Rp65.000.000 ; Rp16.750.000 ;TikTok;Tokopedia;Sendiri
65;Owner-0064;MSME-0004;NIK-0065;BirthDate-0064;Street-0011;Village-0005;Perdagangan;Ada;3;230; Rp54.250.000 ; Rp162.250.000 ;Facebook;Lazada;Sendiri
66;Owner-0065;MSME-0024;NIK-0066;BirthDate-0065;Street-0009;Village-0005;Jasa;Ada;1;1000; Rp963.500.000 ; Rp578.000.000 ;Facebook;Tidak ada;Sendiri
67;Owner-0066;MSME-0004;NIK-0067;BirthDate-0066;Street-0013;Village-0005;Perdagangan;Ada;2;4000; Rp86.000.000 ; Rp30.500.000 ;Facebook;Lazada;Sendiri
68;Owner-0067;MSME-0004;NIK-0068;BirthDate-0067;Street-0013;Village-0005;Perdagangan;Ada;3;180; Rp182.750.000 ; Rp124.250.000 ;Facebook;Shopee;Sendiri
69;Owner-0068;MSME-0004;NIK-0069;BirthDate-0068;Street-0016;Village-0006;Perdagangan;Ada;4;50000; Rp1.173.250.000 ; Rp847.250.000 ;WhatsApp Business, Instagram;Shopee;Sendiri
70;Owner-0069;MSME-0017;NIK-0070;BirthDate-0069;Street-0017;Village-0005;Perdagangan;Ada;3;30000; Rp160.750.000 ; Rp82.050.000 ;TikTok;Shopee;Sendiri
71;Owner-0070;MSME-0004;NIK-0071;BirthDate-0070;Street-0018;Village-0007;Perdagangan;Ada;3;330; Rp183.250.000 ; Rp75.750.000 ;Facebook;Shopee;Sendiri
72;Owner-0071;MSME-0024;NIK-0072;BirthDate-0071;Street-0009;Village-0005;Jasa;Ada;2;200; Rp350.000.000 ; Rp864.000.000 ;Instagram;Shopee;Sendiri
73;Owner-0072;MSME-0034;NIK-0073;BirthDate-0072;Street-0019;Village-0002;Perdagangan;Ada;2;2000; Rp25.500.000 ; Rp13.000.000 ;Facebook;Tidak ada;Sendiri
74;Owner-0045;MSME-0035;NIK-0074;BirthDate-0073;Street-0020;Village-0002;Perdagangan;Ada;3;8000; Rp65.000.000 ; Rp191.500.000 ;TikTok;Tokopedia;Sewa
75;Owner-0073;MSME-0004;NIK-0075;BirthDate-0074;Street-0021;Village-0005;Perdagangan;Ada;2;4000; Rp727.250.000 ; Rp403.500.000 ;Instagram;Shopee;Sendiri
76;Owner-0074;MSME-0036;NIK-0076;BirthDate-0075;Street-0021;Village-0005;Perdagangan;Ada;2;230; Rp24.000.000 ; Rp13.750.000 ;TikTok;Tokopedia;Sendiri
77;Owner-0075;MSME-0037;NIK-0077;BirthDate-0076;Street-0022;Village-0005;Makanan dan Minuman;Ada;2;1500; Rp95.250.000 ; Rp62.250.000 ;Instagram, TikTok;Shopee;Sendiri
78;Owner-0076;MSME-0004;NIK-0078;BirthDate-0077;Street-0001;Village-0001;Perdagangan;Ada;2;100; Rp50.250.000 ; Rp32.500.000 ;WhatsApp Business;Tokopedia;Sendiri
79;Owner-0077;MSME-0038;NIK-0079;BirthDate-0078;Street-0014;Village-0005;Jasa;Ada;2;7000; Rp920.250.000 ; Rp632.500.000 ;Instagram;Tidak ada;Sendiri
80;Owner-0078;MSME-0004;NIK-0080;BirthDate-0079;Street-0014;Village-0005;Perdagangan;Ada;3;140; Rp73.250.000 ; Rp152.250.000 ;WhatsApp Business;Lazada;Sendiri
81;Owner-0079;MSME-0004;NIK-0081;BirthDate-0080;Street-0009;Village-0005;Perdagangan;Ada;2;8000; Rp1.113.500.000 ; Rp697.750.000 ;Facebook, TikTok;Tokopedia;Sendiri
82;Owner-0080;MSME-0004;NIK-0082;BirthDate-0081;Street-0009;Village-0005;Perdagangan;Ada;3;5000; Rp15.500.000 ; Rp15.500.000 ;Tidak ada;Tokopedia;Sendiri
83;Owner-0081;MSME-0039;NIK-0083;BirthDate-0082;Street-0001;Village-0001;Jasa;Ada;4;3000; Rp138.000.000 ; Rp70.750.000 ;Instagram;Tidak ada;Sendiri
84;Owner-0082;MSME-0001;NIK-0084;BirthDate-0083;Street-0001;Village-0001;Makanan dan Minuman;Ada;8;285; Rp321.750.000 ; Rp901.500.000 ;Facebook, TikTok;Shopee;Sendiri
85;Owner-0083;MSME-0040;NIK-0085;BirthDate-0084;Street-0001;Village-0001;Perdagangan;Ada;3;7000; Rp14.750.000 ; Rp14.250.000 ;Facebook;Shopee;Sewa
86;Owner-0084;MSME-0004;NIK-0086;BirthDate-0085;Street-0002;Village-0001;Perdagangan;Ada;4;1500; Rp59.000.000 ; Rp55.500.000 ;Facebook;Shopee;Sewa
87;Owner-0085;MSME-0041;NIK-0087;BirthDate-0086;Street-0023;Village-0006;Makanan dan Minuman;Ada;2;515; Rp830.250.000 ; Rp460.000.000 ;Facebook;Shopee;Sendiri
88;Owner-0086;MSME-0042;NIK-0088;BirthDate-0087;Street-0024;Village-0001;Makanan dan Minuman;Ada;2;1250; Rp24.750.000 ; Rp30.250.000 ;TikTok;Tidak ada;Sendiri
89;Owner-0042;MSME-0043;NIK-0089;BirthDate-0088;Street-0004;Village-0006;Perdagangan;Ada;2;8000; Rp135.750.000 ; Rp71.000.000 ;Instagram;Shopee;Sewa
90;Owner-0087;MSME-0004;NIK-0090;BirthDate-0089;Street-0001;Village-0001;Perdagangan;Ada;2;8000; Rp1.006.750.000 ; Rp466.500.000 ;WhatsApp Business;Tokopedia;Sendiri
91;Owner-0088;MSME-0004;NIK-0091;BirthDate-0090;Street-0001;Village-0001;Perdagangan;Ada;2;50000; Rp30.750.000 ; Rp15.000.000 ;Instagram;Shopee;Sendiri
92;Owner-0089;MSME-0004;NIK-0092;BirthDate-0091;Street-0025;Village-0001;Perdagangan;Ada;2;4000; Rp118.750.000 ; Rp134.000.000 ;WhatsApp Business;Shopee;Sewa
93;Owner-0060;MSME-0004;NIK-0093;BirthDate-0092;Street-0026;Village-0001;Perdagangan;Ada;5;1000; Rp1.178.000.000 ; Rp879.750.000 ;Instagram;Tokopedia;Sendiri
94;Owner-0090;MSME-0044;NIK-0094;BirthDate-0093;Street-0027;Village-0001;Jasa;Ada;3;150; Rp27.000.000 ; Rp17.000.000 ;Facebook;Tokopedia;Sendiri
95;Owner-0091;MSME-0045;NIK-0095;BirthDate-0094;Street-0027;Village-0001;Makanan dan Minuman;Ada;7;20000; Rp55.750.000 ; Rp124.750.000 ;TikTok;Shopee;Sewa
96;Owner-0092;MSME-0004;NIK-0096;BirthDate-0095;Street-0027;Village-0001;Perdagangan;Ada;2;380; Rp303.500.000 ; Rp190.250.000 ;Instagram;Tokopedia;Sendiri
97;Owner-0093;MSME-0012;NIK-0097;BirthDate-0096;Street-0001;Village-0001;Makanan dan Minuman;Ada;3;585; Rp8.000.000 ; Rp28.000.000 ;Tidak ada;Tidak ada;Sendiri
98;Owner-0094;MSME-0046;NIK-0098;BirthDate-0097;Street-0001;Village-0001;Jasa;Ada;3;200; Rp189.250.000 ; Rp155.250.000 ;TikTok;Tidak ada;Sendiri
99;Owner-0095;MSME-0047;NIK-0099;BirthDate-0098;Street-0001;Village-0001;Industri;Ada;8;145; Rp971.500.000 ; Rp705.750.000 ;Instagram, Facebook, TikTok;Tokopedia, Shopee;Sendiri
100;Owner-0096;MSME-0048;NIK-0100;BirthDate-0099;Street-0001;Village-0001;Jasa;Ada;4;2500; Rp57.500.000 ; Rp17.750.000 ;TikTok;Shopee;Sendiri
101;Owner-0097;MSME-0049;NIK-0101;BirthDate-0100;Street-0001;Village-0001;Industri;Ada;8;240; Rp151.000.000 ; Rp113.000.000 ;Facebook;Shopee;Sendiri
102;Owner-0098;MSME-0001;NIK-0102;BirthDate-0101;Street-0001;Village-0001;Makanan dan Minuman;Ada;10;2500; Rp24.250.000 ; Rp27.750.000 ;Instagram, TikTok;Shopee;Sendiri
103;Owner-0099;MSME-0050;NIK-0103;BirthDate-0102;Street-0001;Village-0001;Jasa;Ada;6;30; Rp686.000.000 ; Rp861.750.000 ;Instagram, Facebook, TikTok;Tidak ada;Sendiri
104;Owner-0100;MSME-0004;NIK-0104;BirthDate-0103;Street-0004;Village-0001;Perdagangan;Ada;2;10000; Rp76.750.000 ; Rp117.250.000 ;Facebook;Tokopedia;Sewa
105;Owner-0101;MSME-0001;NIK-0105;BirthDate-0104;Street-0004;Village-0001;Makanan dan Minuman;Ada;5;7000; Rp561.750.000 ; Rp422.250.000 ;Instagram, TikTok;Shopee;Sendiri
106;Owner-0102;MSME-0051;NIK-0106;BirthDate-0105;Street-0004;Village-0001;Jasa;Ada;5;120; Rp110.750.000 ; Rp79.500.000 ;Facebook, TikTok;Shopee;Sendiri
107;Owner-0103;MSME-0032;NIK-0107;BirthDate-0106;Street-0023;Village-0006;Makanan dan Minuman;Ada;4;15000; Rp142.250.000 ; Rp187.000.000 ;Facebook;Shopee;Sewa
108;Owner-0104;MSME-0004;NIK-0108;BirthDate-0107;Street-0004;Village-0001;Perdagangan;Ada;4;1500; Rp132.500.000 ; Rp82.250.000 ;WhatsApp Business, Facebook;Tokopedia;Sendiri
109;Owner-0105;MSME-0032;NIK-0109;BirthDate-0108;Street-0028;Village-0007;Makanan dan Minuman;Ada;4;10000; Rp25.000.000 ; Rp9.250.000 ;TikTok;Shopee;Sendiri
110;Owner-0106;MSME-0052;NIK-0110;BirthDate-0109;Street-0029;Village-0008;Makanan dan Minuman;Ada;3;140; Rp142.750.000 ; Rp52.000.000 ;Facebook;Shopee;Sendiri
111;Owner-0107;MSME-0004;NIK-0111;BirthDate-0110;Street-0004;Village-0001;Perdagangan;Ada;2;75000; Rp402.750.000 ; Rp715.750.000 ;Facebook;Tidak ada;Sendiri
112;Owner-0108;MSME-0053;NIK-0112;BirthDate-0111;Street-0030;Village-0001;Jasa;Ada;5;2500; Rp1.132.500.000 ; Rp822.250.000 ;Instagram;Tidak ada;Sendiri
113;Owner-0109;MSME-0004;NIK-0113;BirthDate-0112;Street-0030;Village-0001;Perdagangan;Ada;3;310; Rp87.500.000 ; Rp128.500.000 ;Facebook;Lazada;Sendiri
114;Owner-0110;MSME-0004;NIK-0114;BirthDate-0113;Street-0004;Village-0001;Perdagangan;Ada;3;200; Rp512.000.000 ; Rp447.750.000 ;Facebook;Tokopedia;Sendiri
115;Owner-0111;MSME-0054;NIK-0115;BirthDate-0114;Street-0031;Village-0007;Jasa;Ada;3;2000; Rp80.000.000 ; Rp30.250.000 ;WhatsApp Business, Facebook;Tidak ada;Sendiri
116;Owner-0112;MSME-0055;NIK-0116;BirthDate-0115;Street-0032;Village-0007;Jasa;Ada;2;90; Rp104.000.000 ; Rp69.250.000 ;Facebook;Tidak ada;Sewa
117;Owner-0113;MSME-0056;NIK-0117;BirthDate-0116;Street-0033;Village-0007;Jasa;Ada;2;200; Rp534.250.000 ; Rp808.000.000 ;Facebook;Tidak ada;Sendiri
118;Owner-0114;MSME-0057;NIK-0118;BirthDate-0117;Street-0034;Village-0007;Makanan dan Minuman;Ada;3;2000; Rp21.250.000 ; Rp10.500.000 ;Instagram;Shopee;Sendiri
119;Owner-0115;MSME-0019;NIK-0119;BirthDate-0118;Street-0004;Village-0001;Makanan dan Minuman;Ada;2;3000; Rp66.750.000 ; Rp115.500.000 ;Instagram;Shopee;Sendiri
120;Owner-0116;MSME-0058;NIK-0120;BirthDate-0119;Street-0001;Village-0001;Jasa;Ada;6;1000; Rp576.500.000 ; Rp644.500.000 ;Facebook;Tokopedia;Sewa
121;Owner-0117;MSME-0001;NIK-0121;BirthDate-0120;Street-0001;Village-0001;Makanan dan Minuman;Ada;5;2500; Rp16.750.000 ; Rp14.500.000 ;WhatsApp Business;Shopee;Sendiri
122;Owner-0118;MSME-0059;NIK-0122;BirthDate-0121;Street-0001;Village-0001;Jasa;Ada;1;8000; Rp74.000.000 ; Rp137.250.000 ;Facebook;Shopee;Sendiri
123;Owner-0119;MSME-0060;NIK-0123;BirthDate-0122;Street-0001;Village-0007;Jasa;Ada;5;28; Rp525.000.000 ; Rp615.000.000 ;Instagram, Facebook, TikTok;Tidak ada;Sendiri
124;Owner-0120;MSME-0061;NIK-0124;BirthDate-0123;Street-0035;Village-0007;Perdagangan;Ada;2;150; Rp5.000.000 ; Rp13.750.000 ;Instagram;Shopee;Sendiri
125;Owner-0096;MSME-0055;NIK-0125;BirthDate-0124;Street-0036;Village-0007;Jasa;Ada;3;85; Rp122.250.000 ; Rp163.000.000 ;Facebook;Tidak ada;Sewa
126;Owner-0121;MSME-0057;NIK-0126;BirthDate-0054;Street-0037;Village-0007;Makanan dan Minuman;Ada;3;10000; Rp78.750.000 ; Rp21.750.000 ;Instagram;Shopee;Sendiri
127;Owner-0122;MSME-0004;NIK-0127;BirthDate-0125;Street-0038;Village-0007;Perdagangan;Ada;6;600; Rp20.750.000 ; Rp24.000.000 ;Facebook;Tokopedia;Sewa
128;Owner-0123;MSME-0004;NIK-0128;BirthDate-0126;Street-0037;Village-0007;Perdagangan;Ada;2;150; Rp177.500.000 ; Rp103.250.000 ;Facebook;Shopee;Sendiri
129;Owner-0124;MSME-0062;NIK-0129;BirthDate-0127;Street-0039;Village-0007;Perdagangan;Ada;8;500; Rp1.160.500.000 ; Rp446.000.000 ;Instagram, Facebook, TikTok;Tokopedia, TikTok Shop;Sendiri
130;Owner-0125;MSME-0063;NIK-0130;BirthDate-0128;Street-0040;Village-0007;Jasa;Ada;5;115; Rp85.500.000 ; Rp26.250.000 ;Instagram;Tidak ada;Sendiri
131;Owner-0126;MSME-0019;NIK-0131;BirthDate-0129;Street-0034;Village-0007;Makanan dan Minuman;Ada;2;560; Rp181.250.000 ; Rp198.750.000 ;Instagram;Tokopedia;Sewa
132;Owner-0127;MSME-0064;NIK-0132;BirthDate-0130;Street-0041;Village-0007;Makanan dan Minuman;Ada;5;270; Rp327.250.000 ; Rp407.250.000 ;WhatsApp Business, TikTok;Shopee;Sendiri
133;Owner-0128;MSME-0065;NIK-0133;BirthDate-0131;Street-0040;Village-0007;Jasa;Ada;2;2500; Rp110.750.000 ; Rp74.250.000 ;Instagram, TikTok;Shopee;Sendiri
134;Owner-0129;MSME-0066;NIK-0134;BirthDate-0132;Street-0042;Village-0007;Industri;Ada;8;3000; Rp176.250.000 ; Rp62.500.000 ;Facebook;Tokopedia;Sendiri
135;Owner-0130;MSME-0067;NIK-0135;BirthDate-0133;Street-0043;Village-0007;Jasa;Ada;4;5000; Rp211.000.000 ; Rp60.500.000 ;WhatsApp Business;Tidak ada;Sendiri
